Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1737927392.0255675,-9.56,8.52,13.29,-7.78,6.49,11.6
1737927392.0653393,-4.61,7.08,8.91,-4.11,6.71,7.35
1737927392.105828,-6.52,4.2,7.05,-7.04,1.08,7.8
1737927392.145386,-6.76,5.11,6.64,-5.64,1.03,6.63
1737927392.184805,-4.34,1.59,5.66,-3.33,2.3,5.29
1737927392.224992,-3.47,-0.18,3.44,-4.6,-1.67,3.22
1737927392.265238,-4.91,-1.43,4.18,-4.64,2.02,6.25
1737927392.3051531,-5.39,3.22,7.29,-7.17,1.41,7.02
1737927392.3452137,-9.88,0.97,6.87,-11.11,-1.3,7.7
1737927392.385014,-9.1,2.55,9.19,-5.83,6.58,9.29
1737927392.4251285,-5.73,4.75,8.21,-7.61,3.7,7.28
1737927392.465771,-13.97,3.39,6.31,-16.12,-4.81,5.06
1737927392.5054753,-9.5,-0.04,2.92,1.52,1.18,1.78
1737927392.5454788,5.64,5.37,0.18,4.66,-1.16,-0.86
1737927392.5846395,3.34,-15.06,-2.45,4.01,-9.43,-0.4
1737927392.6254683,8.87,0.53,4.74,13.12,8.65,7.21
1737927392.66521,15.52,9.05,6.62,17.97,-2.5,3.38
1737927392.704646,17.14,0.88,2.26,14.6,8.07,6.29
1737927392.7457006,12.11,11.35,11.37,7.64,12.01,11.29
1737927392.7850778,6.64,4.02,8.86,6.61,4.82,8.86
1737927392.8257241,6.9,12.8,12.25,6.62,15.75,12.03
1737927392.8645093,2.37,16.0,11.88,-3.97,16.66,12.03
1737927392.9047992,-10.07,11.39,11.42,-12.63,8.08,12.53
1737927392.9450321,-10.85,13.16,12.26,-7.61,17.25,10.39
1737927392.9847498,-8.09,18.28,9.19,-12.15,14.12,6.86
1737927393.0247335,-15.09,7.19,6.07,-12.87,6.44,4.72
1737927393.066464,-9.74,14.36,7.54,-12.92,15.53,4.53
1737927393.1053948,-16.74,1.06,1.44,-14.09,-2.24,3.06
1737927393.145434,-3.81,2.29,-0.58,2.26,2.93,-1.36
1737927393.1853366,0.58,2.98,-1.86,-8.97,-5.04,-2.35
1737927393.2254238,-15.03,-13.35,-0.69,-10.22,-4.93,0.28
1737927393.2655432,3.21,-3.24,-0.83,7.76,8.38,-3.54
1737927393.3055325,10.75,-2.48,-7.61,11.28,-15.84,-4.38
1737927393.3456254,8.27,-2.32,-0.17,10.05,0.61,4.14
1737927393.3855696,12.62,2.03,4.22,14.13,1.76,3.88
1737927393.424609,15.94,1.25,3.99,16.18,7.13,9.13
1737927393.4652338,14.35,11.32,8.98,11.57,8.66,9.47
1737927393.5047352,8.55,7.89,10.84,5.83,13.24,11.87
1737927393.5447598,6.78,6.28,10.58,4.81,15.2,11.42
1737927393.5850282,-0.17,19.61,14.4,-6.71,18.86,11.97
