Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1035032,6424,-4356,-12584,575,-19282,8159
1035043,4780,-4000,-11976,5,-21684,7270
1035068,1036,-3512,-11308,-345,-23243,6281
1035080,-240,-3072,-10752,127,-21987,5730
1035092,-1308,-2456,-10324,945,-20070,4821
1035104,-1688,-2604,-9216,1830,-17475,4470
1035116,-2120,-1504,-8860,2882,-14662,4289
1035128,-2252,-1000,-8780,4006,-12109,3832
1035140,-1872,-892,-8196,4911,-9577,3381
1035152,-1948,-1020,-7664,5491,-7577,3061
1035164,-2120,-1544,-7996,5586,-6450,2849
1035178,-2156,-2004,-8028,5510,-5330,2450
1035195,-2380,-2512,-8568,5428,-4463,2461
1035207,-2592,-2916,-9048,5193,-4133,2554
1035219,-2780,-3376,-9252,4983,-3775,2398
1035231,-3104,-3652,-9280,4691,-3563,2115
1035243,-3548,-3984,-9320,4201,-3312,1750
1035255,-4032,-4272,-9632,3810,-2720,1228
1035267,-4416,-4364,-9920,3389,-1778,651
1035279,-4512,-4620,-10004,3048,-340,177
1035291,-4508,-4940,-9952,2616,1020,-147
1035303,-4392,-5392,-10168,2061,2097,-320
1035318,-4308,-5928,-10956,1324,2701,-583
1035330,-3992,-6064,-11132,782,2991,-976
1035342,-3884,-6244,-11316,228,3108,-1283
1035356,-4064,-6404,-10568,-721,3368,-1542
1035368,-4204,-6356,-10748,-1459,3800,-1796
1035380,-4356,-6284,-10936,-2158,4321,-2137
1035392,-4148,-5860,-11168,-2637,4848,-2565
1035404,-4092,-5448,-11584,-2833,5217,-3020
1035416,-4140,-5128,-11720,-3059,5554,-3364
1035428,-4484,-4952,-11568,-3096,6028,-3883
1035443,-4352,-5212,-11768,-3286,7065,-4863
1035455,-3600,-5244,-12312,-3232,8029,-5709
1035467,-2692,-5176,-13248,-2954,8602,-6287
1035481,-1544,-4956,-13740,-2771,8637,-6582
1035493,-1004,-4904,-14164,-2503,8519,-6786
1035505,24,-5196,-14824,-2125,8935,-7123
1035517,392,-4832,-14132,-2010,9383,-7341
1035529,744,-4796,-13472,-2124,9230,-7475
1035541,1204,-5112,-13336,-2256,8939,-7229
1035553,1332,-4988,-13960,-2351,8484,-7156
1035568,1692,-4764,-14284,-2237,8594,-7493
1035580,1908,-4608,-15644,-1776,9208,-7718
1035592,2764,-4596,-15340,-1382,10599,-7424
1035604,3412,-5460,-14944,-835,11314,-6978
1035616,4052,-5516,-14600,-873,12424,-6833
1035628,4204,-5444,-14508,-734,12831,-7034
1035642,6072,-5560,-14940,-479,13268,-6551
1035654,6776,-5580,-15696,-179,13158,-6086
1035666,7472,-5728,-15852,-156,11786,-5450
1035678,7516,-5724,-16028,48,11017,-5257
1035693,7508,-5696,-17044,256,10499,-5383
1035705,8348,-5944,-16788,393,9501,-4578
1035717,8596,-5660,-15316,151,7577,-3798
1035729,8880,-6084,-16200,-27,5744,-3292
1035741,8108,-5972,-16332,-305,3715,-3020
1035753,8096,-5972,-16572,-603,2013,-2778
1035765,7360,-5928,-16496,-718,706,-2322
1035779,6844,-5640,-16352,-572,-193,-2096
1035791,6392,-5752,-16200,-599,-433,-1899
1035803,5972,-5456,-16336,-310,-144,-1793
1035818,5888,-5616,-16776,18,-9,-1349
1035830,5480,-5428,-16456,352,531,-1522
1035842,5672,-5284,-16308,625,864,-1838
1035854,5636,-5172,-16116,928,1039,-1863
1035866,5812,-4856,-15896,1124,996,-1463
1035878,5872,-5204,-14820,1203,1126,-1081
1035890,5948,-5000,-14732,1377,1022,-949
1035902,6004,-5144,-14800,1261,1019,-918
1035914,5496,-5044,-14316,1183,865,-932
1035926,5772,-5132,-14336,1008,651,-1175
1035943,5720,-4992,-14368,899,817,-1367
1035955,5652,-4872,-14308,930,1368,-1318
1035967,5796,-5032,-14076,977,2042,-1200
1035979,5768,-5160,-13876,941,2181,-1302
1035991,5932,-4992,-13816,807,2156,-1488
1036003,6492,-4984,-14480,753,2485,-1587
1036015,6652,-4868,-13704,630,2100,-1404
1036027,6640,-4952,-13408,325,1706,-1259
1036039,6700,-4948,-13404,130,1212,-1349
1036051,6664,-4820,-13492,-89,718,-1341
1036066,6536,-4784,-13540,-233,245,-1324
1036078,6488,-4752,-13756,-393,-90,-1213
1036090,6544,-4732,-13832,-582,-284,-1274
1036102,6536,-4772,-13736,-721,-503,-1314
1036116,6452,-4660,-13980,-836,-685,-1435
1036128,6460,-4468,-14208,-910,-786,-1535
1036140,6504,-4504,-14048,-944,-798,-1630
1036152,6384,-4356,-13972,-1000,-775,-1676
1036164,6504,-4360,-14088,-1016,-828,-1692
1036176,6560,-4296,-13916,-1044,-870,-1726
1036191,6596,-4188,-13900,-1142,-1002,-1775
1036203,6496,-4180,-13896,-1201,-1126,-1792
10364096,-1592,-1491,-1715
1036364,6148,-3516,-14000,-1580,-1469,-1664
1036376,6168,-3512,-14264,-1534,-1445,-1613
1036390,5992,-3440,-14296,-1429,-1370,-1608
1036402,5952,-3384,-14368,-1333,-1224,-1613
1036414,5884,-3292,-14400,-1214,-1040,-1626
1036426,5908,-3264,-14252,-1090,-859,-1636
1036441,5988,-3220,-14292,-887,-664,-1557
1036453,6112,-3168,-14524,-756,-591,-1486
1036465,6084,-3108,-14448,-643,-602,-1402
1036477,6120,-3200,-14476,-507,-746,-1381
1036489,6188,-3032,-14368,-464,-872,-1360
10364096,-1592,-1491,-1715
1036364,6148,-3516,-14000,-1580,-1469,-1664
1036376,6168,-3512,-14264,-1534,-1445,-1613
1036390,5992,-3440,-14296,-1429,-1370,-1608
1036402,5952,-3384,-14368,-1333,-1224,-1613
1036414,5884,-3292,-14400,-1214,-1040,-1626
1036426,5908,-3264,-14252,-1090,-859,-1636
1036441,5988,-3220,-14292,-887,-664,-1557
1036453,6112,-3168,-14524,-756,-591,-1486
1036465,6084,-3108,-14448,-643,-602,-1402
1036477,6120,-3200,-14476,-507,-746,-1381
1036489,6188,-3032,-14368,-464,-872,-1360
1036501,6008,-2992,-14468,-340,-975,-1297
1036515,5936,-2820,-14696,-184,-1046,-1235
1036527,5880,-2752,-14828,-25,-999,-1183
1036539,5964,-2644,-14748,171,-984,-1179
1036551,5996,-2572,-14880,341,-1042,-1166
1036566,5952,-2440,-14924,560,-1103,-1125
1036578,5888,-2440,-14944,723,-1135,-1199
1036590,5844,-2300,-14992,950,-1104,-1249
1036602,5828,-2400,-14824,1124,-1053,-1238
1036614,5716,-2400,-15100,1314,-1053,-1294
1036626,5684,-2456,-15052,1516,-1006,-1356
1036638,5536,-2476,-14912,1670,-994,-1316
1036650,5596,-2584,-14868,1803,-1005,-1324
1036662,5600,-2572,-14984,1911,-1020,-1330
1036676,5640,-2824,-14900,2092,-1088,-1338
1036691,5584,-2904,-14692,2182,-1262,-1296
1036703,5364,-3092,-14712,2189,-1362,-1272
1036715,5336,-3136,-14720,2269,-1365,-1329
1036727,5300,-3196,-14548,2258,-1332,-1252
1036739,5284,-3352,-14572,2396,-1324,-1213
