Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
914039,-4100,5904,14960,1601,450,-4842
914050,-4192,5988,14932,1694,328,-4889
914062,-4128,6028,15040,1789,202,-4856
914078,-4232,6204,15240,1893,190,-5067
914090,-4220,6164,15188,2050,362,-5251
914102,-4124,6260,15096,2208,235,-5421
914114,-4356,6416,14768,2344,-146,-5597
914126,-4432,6388,14228,2367,-621,-5878
914138,-4436,6320,14208,2360,-1012,-6195
914150,-4120,6336,14500,2115,-1169,-6453
914175,-3316,5784,15476,1740,21,-6857
914187,-3436,5656,15432,1735,740,-6940
914199,-3788,5636,15520,1871,1086,-7249
914211,-4140,5512,15300,1990,934,-7687
914225,-4604,5336,15228,2176,735,-8470
914237,-4384,5324,15424,2423,951,-9004
914249,-4052,5220,15616,2517,1580,-9446
914261,-3876,5296,15792,2584,2897,-9664
914273,-4012,5080,15892,2575,4194,-9739
914285,-4276,4736,15784,2371,4879,-9595
914303,-5240,3828,15396,2076,4023,-9010
914315,-5852,3412,15800,1910,2818,-8386
914327,-5988,3228,15964,1784,1706,-7713
914339,-5812,3036,16600,1577,1308,-6895
914351,-5788,3184,16968,1365,1378,-6076
914363,-5984,3664,17156,1273,1514,-5551
914375,-6200,3812,17056,1429,1654,-5164
914389,-6736,3872,16924,1681,1548,-4856
914401,-7012,3948,16436,2050,1270,-4645
914413,-7668,4072,15968,2506,361,-4601
914429,-8312,4320,15408,3051,-1403,-4640
914441,-7932,4404,15144,3281,-2352,-4644
914453,-7576,4612,15308,3255,-2753,-4496
914465,-7336,4908,15536,3224,-2595,-4408
914477,-7372,5108,15440,3089,-2047,-4473
914489,-7236,4932,15584,3092,-1789,-4435
914501,-6968,4884,15272,2917,-1873,-4367
914513,-6884,4968,14964,2625,-1342,-3899
914525,-6564,5208,14868,2424,-828,-3593
914537,-6528,5228,14476,2099,-236,-3189
914556,-6776,5332,14000,1805,261,-2585
914568,-6804,5336,13800,1730,252,-2137
914580,-6860,5648,13848,1809,226,-1873
914592,-6680,5980,13676,1951,38,-1529
914604,-6724,6164,13948,2131,-341,-1158
914616,-6656,6256,13932,2396,-856,-843
914628,-6628,6224,14012,2601,-1465,-621
914640,-6316,6260,13944,2798,-1895,-539
914652,-5920,6416,13996,2856,-2432,-631
914664,-5588,6576,14032,2723,-2844,-834
914683,-5320,6436,13988,2435,-2663,-1336
914695,-5180,6160,14272,2171,-2155,-1551
914707,-4952,6108,14428,1973,-1627,-1879
914719,-4928,6036,14652,1801,-1168,-2092
914731,-4720,5904,14680,1525,-392,-2231
914743,-4900,5788,14276,1283,-128,-2300
914755,-4944,5916,14320,1019,-165,-2355
914767,-4944,5780,14212,763,-234,-2257
914779,-5236,5708,14420,468,-334,-2067
914791,-5460,5924,14312,172,-456,-1951
914807,-5336,5880,14532,-76,-683,-1862
914819,-5356,5756,14712,-217,-453,-1811
914831,-5456,5828,14868,-245,-291,-1757
914843,-5648,5824,14968,-93,-274,-1664
914857,-5700,5848,15092,-55,-272,-1633
914869,-5540,5828,15372,-23,-264,-1334
914881,-5704,5776,15364,51,-48,-1363
914893,-5900,5768,15072,161,11,-1371
914905,-5792,5940,15000,192,-175,-1287
914917,-5676,6072,15156,231,-128,-1301
