Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1051287,-832,5620,15728,-120,-566,-567
1051298,-660,5652,15960,-249,-138,-811
1051310,-580,5628,15984,-339,367,-1077
1051326,-608,5504,16076,-425,1508,-1501
1051338,-916,5220,16060,-474,2197,-1768
1051350,-1060,5356,16140,-452,2623,-1979
1051362,-1444,5284,15944,-327,2660,-2296
1051374,-1524,5060,16016,-222,2458,-2522
1051398,-1832,5184,15916,133,2203,-2810
1051410,-1696,5356,15928,321,1952,-2949
1051422,-1476,5840,16052,324,2131,-3144
1051434,-1212,6192,15860,167,2680,-3342
1051446,-1364,6136,16068,-123,3607,-3517
1051458,-1832,5860,16052,-313,4512,-3614
1051470,-2324,6100,15652,-674,5036,-3626
1051484,-2876,5792,15428,-880,4983,-3731
1051496,-3192,5376,15276,-932,4988,-3781
1051508,-3212,5300,15396,-879,4763,-3511
1051526,-3644,5328,15252,-645,3928,-3318
1051538,-3524,5380,15448,-454,2967,-3283
1051550,-3376,5180,15664,-261,2311,-3185
1051562,-3132,5124,16208,-86,2095,-3077
1051574,-3236,5172,16384,-2,2279,-2827
1051586,-3336,5080,16436,16,2576,-2456
1051598,-3436,5364,16104,79,2587,-2096
1051612,-3816,5320,15552,55,2027,-1844
1051624,-3912,5468,15524,182,1587,-1535
1051636,-3920,5508,15516,298,1046,-1377
1051652,-4224,5348,16004,697,444,-1129
1051664,-4124,5036,16260,1010,182,-1011
1051676,-4112,5180,16364,1147,-146,-628
1051688,-3932,5288,16192,1160,-637,-459
1051700,-3956,5264,15816,1165,-1032,-377
1051712,-4012,5204,15848,1155,-1601,-349
1051724,-3660,5276,15972,1013,-1864,-252
1051736,-3588,5308,15904,843,-1736,-231
1051748,-3384,5152,16180,765,-1219,-385
1051760,-3464,4900,16348,666,-661,-457
1051778,-3668,5152,16344,527,-241,-558
1051790,-3652,5256,16068,322,-5,-512
1051802,-3640,5312,15944,90,30,-504
1051814,-3528,5472,15900,-128,313,-469
1051826,-3604,5432,16076,-207,604,-450
1051838,-3608,5348,16256,-391,1062,-335
1051850,-3884,5308,16284,-364,1207,-212
1051862,-4164,5356,16248,-422,1104,-163
1051874,-4260,5180,16160,-432,652,-2
1051886,-4100,5408,16316,-541,222,51
1051902,-4108,5412,16460,-594,60,189
1051914,-4064,5472,16112,-683,-357,179
1051926,-3628,5576,15992,-762,-453,126
1051938,-3280,5544,16284,-760,-114,-20
1051952,-2736,5468,16856,-884,902,-86
1051964,-2728,5476,16736,-875,1883,-108
1051976,-3040,5320,16792,-688,2544,-183
1051988,-3312,5388,16656,-537,2764,-227
1052000,-3552,5332,16668,-322,2848,-388
1052012,-3540,5016,16688,-81,2780,-452
1052028,-3656,5072,16484,250,2460,-446
1052040,-3868,5228,16328,416,2047,-406
1052052,-4056,5144,16164,541,1560,-290
1052064,-4324,5128,16208,604,1051,-97
1052076,-4192,5132,15968,867,483,35
1052088,-3784,5344,15772,956,76,35
1052100,-3320,5620,15896,1001,132,-154
1052114,-3004,5472,16200,917,755,-164
1052126,-3208,5272,16152,858,1370,-253
1052138,-3392,5288,16088,733,2097,-170
1052154,-4024,5316,15884,530,2495,-76
1052166,-4432,5568,15676,497,2299,-34
1052178,-4320,5464,15540,499,1984,26
1052190,-4300,5412,15408,517,1838,66
1052202,-4588,5420,15896,771,1277,118
1052214,-4672,5136,14864,595,968,286
1052226,-5536,5016,14620,1045,-1131,246
1052238,-4224,5228,15744,1566,-2005,-304
1052250,-2536,5512,16516,1035,-1179,400
1052262,-2792,5440,16388,847,-59,194
1052280,-4140,5440,15716,664,389,101
1052292,-4216,5440,15260,499,21,-15
1052304,-4272,5508,14976,305,-399,-22
1052316,-4052,5700,15092,181,-901,-265
1052328,-3704,5740,15532,82,-1019,-441
1052340,-3552,5676,15932,-11,-459,-428
1052352,-3552,5720,16156,-123,323,-338
1052364,-3928,5600,16068,-162,1070,-290
1052376,-4400,5636,16044,-78,1291,-263
1052388,-4552,5756,15924,-43,1118,-202
1052404,-4388,5916,15832,-100,705,-162
1052416,-4176,5852,15608,-170,550,-164
1052428,-4236,5912,15524,-266,464,-188
1052440,-4080,6024,15444,-365,435,-312
1052454,-3916,5876,15456,-324,741,-465
1052466,-4020,5640,15696,-355,1106,-506
1052478,-4040,5528,15756,-403,1298,-392
1052490,-4032,5412,15700,-439,1300,-273
1052502,-4364,5524,15544,-507,1184,-213
1052514,-4308,5580,15476,-530,945,-151
1052530,-4292,5596,15400,-520,565,-121
1052542,-4224,5756,15380,-596,400,-127
1052554,-4176,5808,15380,-6926,9,-172,-483
1052728,-4144,5328,15792,17,145,-382
1052742,-4248,5328,15796,-24,322,-358
1052754,-4456,5324,15568,-39,290,-333
1052766,-4504,5420,15680,-37,237,-305
1052782,-4736,5328,15604,-54,109,-241
1052794,-4600,5372,15528,-112,86,-228
1052806,-4528,5728,15396,-213,-65,-162
1052818,-4544,5940,15508,-281,-37,-153
1052830,-4444,5996,15656,-270,431,-199
1052842,-4320,6040,15924,-238,1163,-283
1052854,-4736,6044,15680,-244,1293,-361
1052866,-5456,5872,15528,-33,858,-337
1052878,-5632,5644,15746,9,-172,-483
1052728,-4144,5328,15792,17,145,-382
1052742,-4248,5328,15796,-24,322,-358
1052754,-4456,5324,15568,-39,290,-333
1052766,-4504,5420,15680,-37,237,-305
1052782,-4736,5328,15604,-54,109,-241
1052794,-4600,5372,15528,-112,86,-228
1052806,-4528,5728,15396,-213,-65,-162
1052818,-4544,5940,15508,-281,-37,-153
1052830,-4444,5996,15656,-270,431,-199
1052842,-4320,6040,15924,-238,1163,-283
1052854,-4736,6044,15680,-244,1293,-361
1052866,-5456,5872,15528,-33,858,-337
1052878,-5632,5644,15744,92,423,-201
1052890,-5176,5440,15928,232,-24,-128
1052908,-4552,5608,16052,201,-232,-39
1052920,-4404,5712,15720,87,-30,-91
1052932,-4204,5476,15732,-28,375,-96
1052944,-4376,5456,15928,-75,800,-123
1052956,-4356,5612,15740,-158,952,-129
1052968,-4556,5628,15816,-150,1164,-192
1052980,-4660,5592,15552,-81,1204,-220
1052992,-4636,5532,15496,-53,1178,-245
1053004,-5060,5664,15560,-3,1128,-337
1053016,-5000,5736,15668,51,1115,-382
1053032,-5144,5732,15156,112,891,-432
1053044,-5128,5704,15232,237,752,-593
1053056,-5112,5776,15248,261,572,-637
1053068,-5136,5884,14956,147,692,-702
1053082,-4940,5604,15056,127,1059,-739
1053094,-4976,5480,15136,33,1340,-607
1053106,-4940,5360,15072,-154,1448,-352
1053118,-5084,5376,15000,-304,1389,-55
1053130,-5236,5324,14904,-517,981,201
1053142,-5268,5496,14920,-757,616,445
1053158,-5124,5360,15016,-969,655,647
1053170,-5080,5516,15144,-1065,887,866
1053182,-5048,5476,15424,-1151,990,1047
1053194,-5228,5608,15280,-1155,887,1156
1053206,-5260,5592,15268,-1186,712,1277
1053218,-5124,5404,15252,-1162,434,1358
1053230,-5240,5404,15200,-1154,245,1420
1053244,-5132,5488,15384,-1186,165,1573
1053256,-4964,5404,15428,-1239,136,1644
1053268,-4816,5368,15296,-1389,232,1717
1053284,-4768,5252,15136,-1545,539,1839
1053296,-4700,5072,15200,-1652,761,2000
1053308,-4708,4780,15404,-1772,780,2307
1053320,-4712,4552,15440,-1836,620,2646
1053332,-4644,4420,15296,-1799,222,3054
1053344,-4812,4328,15440,-1731,-327,3437
1053356,-4924,4680,15300,-1647,-938,3685
1053368,-4840,4840,15524,-1514,-1487,3784
1053380,-4584,5220,15516,-1328,-1887,3687
1053392,-4464,5420,15724,-1224,-1857,3478
1053410,-4120,5540,16176,-1366,-1032,3236
1053422,-3964,5408,16180,-1390,-97,3070
1053434,-4104,5336,16108,-1395,500,3031
1053446,-4516,4944,16056,-1416,547,2995
1053458,-4388,4404,16072,-1370,272,3137
1053470,-4108,3912,16176,-1318,-86,3254
1053482,-3912,3768,16208,-1226,-343,3366
1053494,-4012,3884,16064,-1137,-380,3402
1053506,-4124,4032,16076,-1029,-522,3382
1053518,-4148,4360,16260,-893,-701,3334
1053536,-4048,4792,16200,-779,-762,3130
1053548,-3932,5220,16384,-658,-657,2944
1053560,-3880,5200,16528,-583,-528,2750
1053572,-3612,4960,16656,-452,-461,2613
1053584,-3536,4988,16500,-269,-494,2501
1053596,-3556,5104,16080,-152,-710,2442
1053608,-3280,4952,16232,-5,-833,2298
1053620,-3112,5092,16172,91,-797,2136
1053632,-2908,5032,16032,167,-756,1974
1053644,-2804,4916,16108,188,-730,1734
1053660,-2560,4632,16092,290,-560,1445
1053672,-2408,4488,16352,309,-437,1283
1053684,-2420,4420,16360,243,-478,1110
1053696,-2528,4384,16364,230,-641,806
1053710,-2316,4472,16452,172,-583,426
1053722,-2280,4704,16460,94,-407,184
1053734,-2320,4972,16708,-28,-181,-2
1053746,-2576,5176,16456,-106,290,-308
1053758,-2652,4836,16576,-108,688,-482
