Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1176556,-4104,3272,17164,1115,1552,-1795
1176567,-4104,3328,17408,1217,1632,-1856
1176582,-4260,3528,17096,1195,1853,-1752
1176594,-4376,3728,16676,1113,2083,-1718
1176606,-4768,3816,16244,865,2472,-1538
1176618,-5292,4300,15844,468,2741,-1316
1176642,-6876,5556,14472,-1129,3499,-5
1176654,-7728,5956,13516,-1857,2930,927
1176666,-8588,5300,13204,-1842,370,1434
1176678,-8588,4628,13064,-1689,-3356,1579
1176690,-7056,4260,13472,-1792,-6215,1778
1176702,-4872,4000,14500,-1914,-7227,2021
1176714,-3400,3720,15252,-2297,-6413,2196
1176728,-2360,3760,15472,-2932,-3889,2294
1176740,-2060,3624,15664,-3369,-1156,2175
1176752,-1844,3356,16156,-3826,1710,2064
1176770,-2104,3192,16268,-4401,5705,2130
1176782,-2840,2896,16192,-4662,7624,2270
1176794,-3532,2460,16048,-4695,8676,2457
1176806,-4044,2124,16024,-4525,8872,2542
1176818,-4248,1800,15724,-4163,8367,2712
1176830,-4664,1704,15484,-3675,7402,2832
1176842,-5344,1856,15316,-3114,5815,2881
1176854,-5632,1520,15480,-2363,3690,2756
1176866,-5592,1292,15516,-1598,1767,2644
1176878,-5336,1468,15808,-1086,454,2584
1176896,-4708,1596,16068,-568,-701,2397
1176908,-4688,1440,16148,-264,-772,2285
1176920,-4704,1132,16384,70,-764,2083
1176932,-4620,1004,16736,195,-651,1936
1176944,-4508,1052,16748,323,-438,1959
1176956,-4484,1232,16772,452,-370,1776
1176968,-4612,1336,16616,580,-663,1520
1176980,-4524,1420,16568,765,-1049,1192
1176992,-4584,1588,16680,1036,-1312,764
1177004,-4376,1936,16668,1223,-1630,449
1177022,-4072,2476,16748,1447,-1459,-94
1177034,-4056,2696,17088,1481,-982,-437
1177046,-3932,2868,17012,1451,-240,-678
1177058,-4316,3152,16760,1411,315,-818
1177070,-4556,3000,16656,1457,378,-976
1177082,-4804,3176,16580,1592,160,-1039
1177094,-4908,3264,16448,1829,-444,-1064
1177106,-5016,3412,16424,1952,-975,-982
1177118,-5036,3532,16428,2073,-1559,-942
1177130,-4972,3644,16164,2273,-2198,-1050
1177146,-4668,3816,16292,2449,-3025,-1069
1177158,-4208,4048,16304,2496,-3492,-1177
1177170,-3888,4012,16328,2463,-3487,-1199
1177184,-3740,4288,16248,2368,-3228,-1199
1177196,-3592,4300,16136,2326,-3082,-1317
1177208,-3628,4364,16280,2328,-2904,-1384
1177220,-3432,4432,16448,2227,-2498,-1399
1177232,-3336,4280,16576,2190,-1948,-1407
1177244,-3408,4296,16580,2133,-1351,-1413
1177256,-3472,4244,16220,2169,-848,-1416
1177272,-3836,4176,16180,2244,-663,-1289
1177284,-3904,4128,15976,2288,-776,-1122
1177296,-4160,4272,15676,2373,-1149,-885
1177308,-4312,4344,15484,2338,-1615,-518
1177320,-4512,4660,15284,2488,-2162,-82
1177332,-4608,4752,15392,2809,-2953,344
1177344,-4432,4704,15436,3033,-3587,799
1177358,-3812,4696,15476,3000,-4114,1330
1177370,-3548,4668,15600,3021,-5039,1569
1177382,-3356,4296,15700,3085,-6202,1433
1177398,-2520,4056,15764,3010,-7257,1108
1177410,-1648,4104,15812,2825,-7173,840
1177422,-776,4424,16332,2455,-6026,600
1177434,-468,4776,16256,2027,-4279,449
1177446,-640,4864,16380,1518,-2340,325
1177458,-1164,4916,16300,1068,-880,205
1177470,-1620,4744,16292,661,192,99
1177482,-1964,4788,16096,262,549,25
1177494,-2008,4824,15984,-80,546,-75
1177506,-2084,4824,15956,-420,520,-241
1177524,-2152,4780,16140,-952,345,-345
1177536,-2176,4772,16368,-1236,337,-358
1177548,-2224,4704,16352,-1435,313,-415
1177560,-2396,4740,16536,-1586,191,-548
1177572,-2332,4644,16520,-1665,87,-641
1177584,-2296,4556,16688,-1714,139,-788
1177596,-2184,4556,16804,-1848,382,-919
1177608,-2240,4380,16952,-1959,969,-1026
1177620,-2336,4348,17048,-2115,1543,-1068
1177632,-2504,4216,16964,-2217,1916,-1045
1177650,-2896,3920,17084,-2308,2128,-1007
1177662,-3120,3684,17128,-2258,2043,-844
1177674,-3296,3788,17172,-2076,1815,-737
1177686,-3464,3824,17140,-1813,1390,-646
1177698,-3716,3820,16940,-1552,873,-611
1177710,-3572,3988,17228,-1380,356,-557
1177722,-3588,3900,17308,-1285,-55,-507
1177734,-3532,3812,17312,-1166,-308,-477
1177746,-3312,3824,17320,-1120,-556,-375
1177758,-3180,3964,17396,-1059,-674,-228
1177774,-3068,4076,17212,-984,-834,-133
1177786,-2936,4068,17276,-977,-050
1177960,-3024,3852,17020,432,2741,1051
1177972,-3112,3948,17336,735,2328,907
1177986,-2920,4184,17216,989,2001,967
1177998,-3032,4196,17464,1093,1896,1088
1178010,-2948,4264,17352,1099,1787,1211
1178026,-2908,4184,17312,1262,1635,1266
1178038,-2964,4164,17012,1359,1289,1257
1178050,-2848,4188,16892,1415,953,1292
1178062,-2792,4228,16576,1525,798,1247
1178074,-2684,4100,16716,1649,692,1231
1178086,-2552,4244,16880,1814,537,1223
1178098,-2580,4364,16840,1967,228,1197
1178110,-2432,4412,16704,050
1177960,-3024,3852,17020,432,2741,1051
1177972,-3112,3948,17336,735,2328,907
1177986,-2920,4184,17216,989,2001,967
1177998,-3032,4196,17464,1093,1896,1088
1178010,-2948,4264,17352,1099,1787,1211
1178026,-2908,4184,17312,1262,1635,1266
1178038,-2964,4164,17012,1359,1289,1257
1178050,-2848,4188,16892,1415,953,1292
1178062,-2792,4228,16576,1525,798,1247
1178074,-2684,4100,16716,1649,692,1231
1178086,-2552,4244,16880,1814,537,1223
1178098,-2580,4364,16840,1967,228,1197
1178110,-2432,4412,16704,2172,-129,1111
1178122,-2436,4344,16692,2352,-430,1021
1178134,-2452,4448,16476,2487,-680,1062
1178152,-2316,4940,16324,2587,-996,1034
1178164,-2336,4952,16008,2575,-977,1113
1178176,-2368,5048,16052,2542,-794,1198
1178188,-2400,5080,15840,2414,-641,1215
1178200,-2412,5184,15676,2272,-572,1140
1178212,-2316,5164,15220,2093,-777,1047
1178224,-2232,5124,15232,1915,-932,833
1178236,-1936,5056,15212,1703,-1028,661
1178248,-2004,5096,15332,1553,-931,503
1178260,-1920,5060,15364,1455,-583,370
1178276,-1736,5036,15432,1298,-38,250
1178288,-1864,5064,15468,1165,277,161
1178300,-2044,4832,15700,1014,541,-2
1178312,-2096,4832,15652,803,646,-102
1178326,-2316,4684,15588,599,701,-250
1178338,-2240,4644,15360,443,576,-398
1178350,-2284,4652,15368,404,443,-537
1178362,-2540,4636,15308,350,190,-643
1178374,-2620,4684,15440,332,-132,-811
1178386,-2652,4660,15632,285,-138,-974
1178402,-2640,4696,15736,92,296,-1191
1178414,-2672,4748,15864,-60,776,-1323
1178426,-3004,4724,15976,-208,1219,-1403
1178438,-3176,4624,15796,-304,1463,-1491
1178450,-3368,4576,15944,-398,1479,-1547
1178462,-3400,4412,16088,-500,1336,-1600
1178474,-3676,4432,15940,-592,1183,-1556
1178488,-3616,4488,16040,-783,940,-1448
1178500,-3584,4452,16208,-876,830,-1406
1178512,-3632,4316,16256,-928,755,-1283
1178528,-3624,4300,16548,-919,716,-1050
1178540,-3660,4284,16484,-913,685,-929
1178552,-3760,4236,16568,-819,605,-826
1178564,-3860,4408,16684,-782,376,-745
1178576,-3744,4548,16512,-722,222,-634
1178588,-3748,4504,16600,-624,220,-610
1178600,-3864,4524,16672,-569,383,-479
1178614,-3828,4604,16728,-609,426,-250
1178626,-3784,4540,16668,-614,328,-99
1178638,-3628,4496,16332,-628,241,-62
1178654,-3520,4368,16404,-543,266,-14
1178666,-3320,4404,16528,-545,343,107
1178678,-3336,4408,16636,-549,646,159
1178690,-3220,4528,16780,-515,990,315
1178702,-3108,4512,16868,-485,1264,465
1178714,-3232,4544,16952,-370,1505,574
1178726,-3360,4572,16916,-213,1428,696
1178738,-3540,4720,16776,-51,1212,798
1178750,-3468,4836,16816,145,876,897
1178762,-3380,5008,16672,220,546,927
1178780,-3304,5252,16372,347,462,928
1178792,-3216,5340,16584,411,534,903
1178804,-3092,5440,16516,370,669,867
1178816,-2996,5288,16428,409,929,822
1178828,-3036,5288,16332,485,1094,848
1178840,-3148,5372,16416,509,1089,840
1178852,-3096,5300,16236,598,1045,795
1178864,-3128,5360,16448,657,976,746
1178876,-2988,5356,16312,651,838,717
1178888,-3124,5480,16152,670,884,608
1178904,-2912,5492,16008,676,997,524
1178916,-2960,5360,15900,700,929,448
1178928,-3044,5380,15916,690,997,382
1178940,-3084,5260,15840,678,1093,279
1178954,-3240,5452,15796,665,1161,221
1178966,-3344,5348,15800,579,1113,177
1178978,-3360,5484,15832,523,1183,137
1178990,-3396,5412,15736,493,1119,160
1179002,-3456,5376,15836,501,1061,145
1179014,-3508,5360,15776,469,894,154
1179030,-3548,5316,15700,326,674,163
1179042,-3640,5300,15616,260,693,83
1179054,-3556,5320,15780,155,854,44
1179066,-3572,5204,15752,64,1122,9
1179078,-3720,4996,16016,-49,1483,-70
1179090,-3848,5168,15884,-113,1781,-53
1179102,-3956,4996,15856,-132,1896,-3
1179116,-4256,4912,15796,-74,1831,81
1179128,-4468,5076,15744,-67,1579,250
1179140,-4408,4932,15644,-49,1327,462
1179156,-4464,4928,15592,2,1161,712
1179168,-4496,4888,15652,21,1066,997
1179180,-4600,4876,15560,-11,1029,1323
