Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1313138,-3164,4208,14696,147,2841,2205
1313149,-3304,4008,14932,204,3231,1931
1313176,-3532,4032,14804,344,3180,1867
1313188,-3884,4092,14720,535,2556,1838
1313200,-3860,3964,14456,790,1769,1827
1313212,-3840,3992,14692,1104,917,1862
1313224,-3556,4228,14700,1293,236,1889
1313236,-3448,4460,14632,1472,-271,1959
1313248,-3348,4556,14324,1555,-564,2013
1313260,-3236,4692,14068,1618,-593,2037
1313272,-3332,4792,13852,1850,-527,1928
1313284,-3440,5056,13920,2049,-633,1878
1313304,-3904,5460,13992,2373,-707,1905
1313316,-4072,5748,14252,2471,-862,2012
1313328,-4188,5652,14388,2609,-1373,2046
1313340,-4080,5708,14564,2650,-1655,2169
1313352,-4176,6016,14552,2698,-1909,2430
1313364,-4336,6020,14456,2757,-2118,2575
1313376,-4208,6156,14628,2712,-2479,2895
1313388,-4116,6308,14816,2645,-2762,3109
1313400,-3800,6452,15016,2577,-2579,3153
1313412,-3724,6700,15328,2526,-2319,3208
1313428,-3520,6940,15396,2238,-2306,3261
1313440,-3500,7016,15060,1998,-2446,3122
1313452,-3412,7220,15168,1743,-2581,2918
1313464,-3344,7320,15116,1464,-2439,2714
1313478,-3172,7480,15128,1088,-1958,2469
1313490,-3072,7596,15424,612,-1436,2351
1313502,-3168,7740,15268,72,-984,2205
1313514,-3264,7876,15152,-352,-653,2013
1313526,-3256,7800,15056,-723,-735,1792
1313538,-3140,7584,15296,-1089,-788,1641
1313554,-3076,7376,15452,-1554,-974,1604
1313566,-3068,7164,15692,-1740,-759,1586
1313578,-2896,7128,15776,-1918,-851,1648
1313590,-2860,6988,15984,-2055,-773,1694
1313602,-2604,7044,16044,-2186,-729,1686
1313614,-2576,7084,16348,-2204,-400,1605
1313626,-2468,6956,16456,-2151,133,1541
1313640,-2456,6708,16484,-2132,676,1569
1313652,-2672,6744,16616,-2088,947,1514
1313664,-2616,6880,16332,-2018,1039,1213
1313680,-2500,6940,16288,-1893,1509,794
1313692,-2512,6732,16504,-1896,2333,750
1313704,-2728,6564,16616,-2035,3467,851
1313716,-3072,6524,16648,-2126,4219,1072
1313728,-3340,6464,16548,-2151,4125,1223
1313740,-3660,6428,16432,-2041,3059,1251
1313752,-3612,6376,15944,-1709,996,1218
1313764,-3432,6244,15704,-1364,-1184,1025
1313776,-3056,6164,15596,-1058,-2821,781
1313788,-2628,6224,16048,-850,-3537,746
1313806,-1816,6276,16716,-836,-2692,951
1313818,-1504,6252,17300,-795,-1262,1097
1313829,-1480,6156,17228,-853,117,1282
1313841,-1836,5988,17060,-851,1078,1478
1313853,-2024,5908,16648,-924,1416,1515
1313865,-2164,5808,16312,-972,1159,1484
1313877,-1920,5728,16012,-981,287,1377
1313889,-1824,5540,15724,-945,-528,1190
1313901,-1636,5612,15728,-876,-1132,952
1313913,-1532,5620,16152,-819,-1245,852
1313931,-1348,5480,16476,-792,-849,877
1313943,-1344,5612,16384,-823,-364,837
1313955,-1360,5632,16708,-892,227,791
1313967,-1512,5624,16752,-1008,907,755
1313979,-1512,5580,16612,-1228,1309,803
1313991,-1576,5536,16540,-1341,1710,835
1314003,-1700,5348,16364,-1404,2086,783
1314015,-2000,5380,16496,-1496,2298,792
1314027,-1936,5404,16536,-1556,2445,967
1314039,-2164,5228,16460,-1566,2295,1210
1314055,-2304,5132,16348,-1307,1910,1318
1314067,-2328,5036,16284,-1135,1610,1386
1314079,-2216,5200,16412,-937,1366,1477
1314091,-2220,5204,16480,-826,1201,1555
1314105,-2152,5308,16168,-665,1129,1506
1314117,-2276,5268,16372,-572,1046,1474
