Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
3662710,12800,876,1444,-18419,32767,-577
3662720,12800,876,1444,-18419,32767,-577
3662734,12800,876,1444,-18419,32767,-577
3662744,12800,876,1444,-18419,32767,-577
3662754,12800,876,1444,-18419,32767,-577
3662764,12800,876,1444,-18419,32767,-577
3662774,12800,876,1444,-18419,32767,-577
3662784,12800,876,1444,-18419,32767,-577
3662794,12800,876,1444,-18419,32767,-577
3662817,12800,876,1444,-18419,32767,-577
3662827,12800,876,1444,-18419,32767,-577
3662837,12800,876,1444,-18419,32767,-577
3662847,12800,876,1444,-18419,32767,-577
3662860,12800,876,1444,-18419,32767,-577
3662870,12800,876,1444,-18419,32767,-577
3662880,12800,876,1444,-18419,32767,-577
3662890,12800,876,1444,-18419,32767,-577
3662900,12800,876,1444,-18419,32767,-577
3662910,12800,876,1444,-18419,32767,-577
3662926,12800,876,1444,-18419,32767,-577
3662936,12800,876,1444,-18419,32767,-577
3662946,12800,876,1444,-18419,32767,-577
3662956,12800,876,1444,-18419,32767,-577
3662966,12800,876,1444,-18419,32767,-577
3662976,12800,876,1444,-18419,32767,-577
3662986,12800,876,1444,-18419,32767,-577
3662998,12800,876,1444,-18419,32767,-577
3663008,12800,876,1444,-18419,32767,-577
3663018,12800,876,1444,-18419,32767,-577
3663033,12800,876,1444,-18419,32767,-577
3663043,12800,876,1444,-18419,32767,-577
3663053,12800,876,1444,-18419,32767,-577
3663063,12800,876,1444,-18419,32767,-577
3663073,12800,876,1444,-18419,32767,-577
3663083,12800,876,1444,-18419,32767,-577
3663093,12800,876,1444,-18419,32767,-577
3663103,12800,876,1444,-18419,32767,-577
3663113,12800,876,1444,-18419,32767,-577
3663123,12800,876,1444,-18419,32767,-577
3663140,12800,876,1444,-18419,32767,-577
3663150,12800,876,1444,-18419,32767,-577
3663160,12800,876,1444,-18419,32767,-577
3663170,12800,876,1444,-18419,32767,-577
3663180,12800,876,1444,-18419,32767,-577
3663190,12800,876,1444,-18419,32767,-577
3663200,12800,876,1444,-18419,32767,-577
3663210,12800,876,1444,-18419,32767,-577
3663220,12800,876,1444,-18419,32767,-577
3663230,12800,876,1444,-18419,32767,-577
3663247,12800,876,1444,-18419,32767,-577
3663257,12800,876,1444,-18419,32767,-577
3663267,12800,876,1444,-18419,32767,-577
3663277,12800,876,1444,-18419,32767,-577
3663287,12800,876,1444,-18419,32767,-577
3663297,12800,876,1444,-18419,32767,-577
3663307,12800,876,1444,-18419,32767,-577
3663317,12800,876,1444,-18419,32767,-577
3663327,12800,876,1444,-18419,32767,-577
3663337,12800,876,1444,-18419,32767,-577
3663352,12800,876,1444,-18419,32767,-577
3663362,12800,876,1444,-18419,32767,-577
3663372,12800,876,1444,-18419,32767,-577
3663382,12800,876,1444,-18419,32767,-577
3663394,12800,876,1444,-18419,32767,-577
3663404,12800,876,1444,-18419,32767,-577
3663414,12800,876,1444,-18419,32767,-577
3663424,12800,876,1444,-18419,32767,-577
3663434,12800,876,1444,-18419,32767,-577
3663444,12800,876,1444,-18419,32767,-577
3663459,12800,876,1444,-18419,32767,-577
3663469,12800,876,1444,-18419,32767,-577
3663479,12800,876,1444,-18419,32767,-577
3663489,12800,876,1444,-18419,32767,-577
3663499,12800,876,1444,-18419,32767,-577
3663509,12800,876,1444,-18419,32767,-577
3663519,12800,876,1444,-18419,32767,-577
3663531,12800,876,1444,-18419,32767,-577
3663541,12800,876,1444,-18419,32767,-577
3663551,12800,876,1444,-18419,32767,-577
3663566,12800,876,1444,-18419,32767,-577
3663576,12800,876,1444,-18419,32767,-577
3663586,12800,876,1444,-18419,32767,-577
3663596,12800,876,1444,-18419,32767,-577
3663606,12800,876,1444,-18419,32767,-577
3663616,12800,876,1444,-18419,32767,-577
3663626,12800,876,1444,-18419,32767,-577
3663639,12800,876,1444,-18419,32767,-577
3663649,12800,876,1444,-18419,32767,-577
3663659,12800,876,1444,-18419,32767,-577
3663674,12800,876,1444,-18419,32767,-577
3663684,12800,876,1444,-18419,32767,-577
3663694,12800,876,1444,-18419,32767,-577
3663704,12800,876,1444,-18419,32767,-577
3663714,12800,876,1444,-18419,32767,-577
3663724,12800,876,1444,-18419,32767,-577
3663734,12800,876,1444,-18419,32767,-577
3663744,12800,876,119,32767,-577
3663888,12800,876,1444,-18419,32767,-577
3663898,12800,876,1444,-18419,32767,-577
3663908,12800,876,1444,-18419,32767,-577
3663918,12800,876,1444,-18419,32767,-577
3663928,12800,876,1444,-18419,32767,-577
3663938,12800,876,1444,-18419,32767,-577
3663948,12800,876,1444,-18419,32767,-577
3663958,12800,876,1444,-18419,32767,-577
3663968,12800,876,1444,-18419,32767,-577
3663978,12800,876,1444,-18419,32767,-577
3663993,12800,876,1444,-18419,32767,-577
3664003,12800,876,1444,-18419,3276719,32767,-577
3663888,12800,876,1444,-18419,32767,-577
3663898,12800,876,1444,-18419,32767,-577
3663908,12800,876,1444,-18419,32767,-577
3663918,12800,876,1444,-18419,32767,-577
3663928,12800,876,1444,-18419,32767,-577
3663938,12800,876,1444,-18419,32767,-577
3663948,12800,876,1444,-18419,32767,-577
3663958,12800,876,1444,-18419,32767,-577
3663968,12800,876,1444,-18419,32767,-577
3663978,12800,876,1444,-18419,32767,-577
3663993,12800,876,1444,-18419,32767,-577
3664003,12800,876,1444,-18419,32767,-577
3664013,12800,876,1444,-18419,32767,-577
3664023,12800,876,1444,-18419,32767,-577
3664036,12800,876,1444,-18419,32767,-577
3664046,12800,876,1444,-18419,32767,-577
3664056,12800,876,1444,-18419,32767,-577
3664066,12800,876,1444,-18419,32767,-577
3664076,12800,876,1444,-18419,32767,-577
3664086,12800,876,1444,-18419,32767,-577
3664101,12800,876,1444,-18419,32767,-577
3664111,12800,876,1444,-18419,32767,-577
3664121,12800,876,1444,-18419,32767,-577
3664131,12800,876,1444,-18419,32767,-577
3664141,12800,876,1444,-18419,32767,-577
3664151,12800,876,1444,-18419,32767,-577
3664161,12800,876,1444,-18419,32767,-577
3664174,12800,876,1444,-18419,32767,-577
3664184,12800,876,1444,-18419,32767,-577
3664194,12800,876,1444,-18419,32767,-577
3664209,12800,876,1444,-18419,32767,-577
3664219,12800,876,1444,-18419,32767,-577
3664229,12800,876,1444,-18419,32767,-577
3664239,12800,876,1444,-18419,32767,-577
3664249,12800,876,1444,-18419,32767,-577
3664259,12800,876,1444,-18419,32767,-577
3664269,12800,876,1444,-18419,32767,-577
3664279,12800,876,1444,-18419,32767,-577
3664289,12800,876,1444,-18419,32767,-577
3664299,12800,876,1444,-18419,32767,-577
3664316,12800,876,1444,-18419,32767,-577
3664326,12800,876,1444,-18419,32767,-577
3664336,12800,876,1444,-18419,32767,-577
3664346,12800,876,1444,-18419,32767,-577
3664356,12800,876,1444,-18419,32767,-577
3664366,12800,876,1444,-18419,32767,-577
3664376,12800,876,1444,-18419,32767,-577
3664386,12800,876,1444,-18419,32767,-577
3664396,12800,876,1444,-18419,32767,-577
3664406,12800,876,1444,-18419,32767,-577
3664431,12800,876,1444,-18419,32767,-577
3664441,12800,876,1444,-18419,32767,-577
3664451,12800,876,1444,-18419,32767,-577
3664461,12800,876,1444,-18419,32767,-577
3664471,12800,876,1444,-18419,32767,-577
3664481,12800,876,1444,-18419,32767,-577
3664491,12800,876,1444,-18419,32767,-577
3664501,12800,876,1444,-18419,32767,-577
3664511,12800,876,1444,-18419,32767,-577
3664521,12800,876,1444,-18419,32767,-577
3664536,12800,876,1444,-18419,32767,-577
3664546,12800,876,1444,-18419,32767,-577
3664556,12800,876,1444,-18419,32767,-577
3664566,12800,876,1444,-18419,32767,-577
3664578,12800,876,1444,-18419,32767,-577
3664588,12800,876,1444,-18419,32767,-577
