Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1740863772.1153264,3012.0,-15952.0,1552.0,28.0,442.0,687.0
1740863772.1328187,2472.0,-15708.0,2016.0,625.0,1413.0,1029.0
1740863772.1510015,1856.0,-15576.0,2316.0,894.0,2144.0,1037.0
1740863772.169228,1320.0,-15632.0,2580.0,801.0,1776.0,634.0
1740863772.1865783,1584.0,-15736.0,2872.0,272.0,638.0,-37.0
1740863772.2049565,2072.0,-15796.0,2596.0,-132.0,-41.0,-331.0
1740863772.2220266,2208.0,-15544.0,2112.0,-265.0,-92.0,-281.0
1740863772.2400563,1904.0,-15572.0,1792.0,460.0,533.0,-192.0
1740863772.2579312,1468.0,-15668.0,2052.0,1375.0,991.0,-585.0
1740863772.276769,1904.0,-15604.0,2952.0,1501.0,389.0,-1066.0
1740863772.294659,2496.0,-15992.0,3240.0,1234.0,-382.0,-1197.0
1740863772.3120637,2904.0,-15664.0,3432.0,811.0,-571.0,-824.0
1740863772.3302898,2584.0,-15544.0,3488.0,344.0,182.0,-374.0
1740863772.3479872,2224.0,-15316.0,3144.0,-109.0,1487.0,88.0
1740863772.3662925,1736.0,-15188.0,2284.0,-604.0,2726.0,658.0
1740863772.3846729,1564.0,-14568.0,1836.0,-1411.0,4013.0,1592.0
1740863772.402849,912.0,-13716.0,1164.0,-2480.0,6006.0,3152.0
1740863772.4214885,-732.0,-12940.0,-92.0,-3489.0,7758.0,4778.0
1740863772.4387746,-2296.0,-11932.0,-1448.0,-3692.0,9468.0,5904.0
1740863772.4566019,-3468.0,-11396.0,-3076.0,-2326.0,12142.0,6895.0
1740863772.4755242,-4400.0,-9072.0,-3212.0,485.0,16946.0,7297.0
1740863772.493042,-6456.0,-8224.0,-4556.0,2838.0,19777.0,8485.0
1740863772.5117917,-7992.0,-7844.0,-5224.0,6232.0,23469.0,6822.0
1740863772.5303986,-9412.0,-8276.0,-5872.0,9671.0,21802.0,2348.0
1740863772.547463,-8288.0,-7796.0,-5180.0,14258.0,17751.0,-3047.0
1740863772.5656784,-7900.0,-8832.0,-4032.0,17977.0,9923.0,-7872.0
1740863772.5845358,-7436.0,-11148.0,-2804.0,23416.0,281.0,-13547.0
1740863772.6019995,-5144.0,-11300.0,404.0,31461.0,-4308.0,-17819.0
1740863772.6207314,-2580.0,-8316.0,5764.0,32767.0,-8737.0,-20251.0
