Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1737928683.5062668,-0.48,6.87,9.34,-0.31,3.35,8.06
1737928683.5463738,-0.81,4.57,7.47,-1.59,4.79,8.71
1737928683.5858254,-1.89,4.06,8.9,-0.52,6.76,9.15
1737928683.6256156,3.67,4.67,7.54,0.94,1.76,9.11
1737928683.6654027,0.27,3.7,10.06,0.13,5.82,12.59
1737928683.705087,-1.93,2.89,10.55,-0.44,5.88,9.06
1737928683.745843,0.79,6.38,7.91,-0.01,4.63,7.83
1737928683.7854164,-0.58,1.98,8.71,-0.46,4.1,8.16
1737928683.8250911,-0.12,5.56,8.84,-0.55,6.78,8.93
1737928683.8655097,-0.02,3.72,8.89,-0.01,1.96,7.86
1737928683.9053404,-0.31,6.97,8.72,0.01,3.87,9.58
1737928683.9455662,-2.59,16.04,8.04,-1.21,-10.01,6.93
1737928683.984936,1.29,13.16,7.78,3.1,-2.57,5.82
1737928684.026664,2.66,14.16,9.48,1.04,7.03,10.74
1737928684.0655644,-1.62,4.14,10.25,-3.15,5.78,8.44
1737928684.1055763,-4.01,7.54,11.98,-3.86,14.52,12.27
1737928684.1455476,-2.63,8.37,11.46,-0.77,5.82,9.48
1737928684.1855931,-0.27,6.59,8.03,-3.14,6.52,9.87
1737928684.2258716,-6.46,6.53,11.92,-6.35,-0.05,10.57
1737928684.2656908,-4.7,4.92,8.05,-4.85,2.18,6.39
1737928684.305056,-4.29,-2.99,5.72,-4.02,3.45,4.04
1737928684.3451686,-6.62,0.59,3.91,-8.24,-0.45,4.6
1737928684.3854675,-6.52,2.45,3.83,-5.55,4.52,2.42
1737928684.4250188,-5.63,-0.08,1.13,-4.13,2.14,1.68
1737928684.4651985,-1.87,10.19,5.56,-2.3,9.18,3.57
1737928684.5051775,0.29,-5.52,3.85,4.89,2.83,5.3
1737928684.5449767,7.4,6.77,7.03,6.57,6.1,7.02
1737928684.585366,4.9,1.86,9.05,3.3,0.86,10.21
1737928684.6254663,2.07,1.02,10.61,2.95,5.43,10.11
1737928684.6654549,3.79,8.12,9.68,3.25,7.52,9.75
1737928684.7053359,2.44,5.79,9.53,2.01,8.99,8.41
1737928684.7452958,0.86,9.46,9.41,-0.76,8.03,10.55
1737928684.7853174,-0.64,7.83,9.93,1.5,10.13,9.83
1737928684.8251014,1.71,8.08,8.33,1.1,4.93,8.5
1737928684.8654358,0.52,14.31,11.63,-0.29,16.12,12.7
1737928684.9051661,-0.83,7.08,9.86,-0.59,5.36,7.56
1737928684.945852,-1.32,11.43,8.37,-4.3,13.76,9.75
1737928684.9851415,-6.81,8.85,9.49,-6.67,9.35,9.25
1737928685.0257664,-5.7,10.7,7.27,-5.31,5.83,5.93
1737928685.0648909,-6.85,8.98,4.24,-9.0,6.47,5.21
1737928685.1052096,-9.56,6.03,6.47,-6.97,7.33,6.58
1737928685.1456747,-4.56,7.55,4.49,-5.92,4.11,2.28
1737928685.1855195,-8.48,-4.18,2.53,-8.56,2.59,3.95
1737928685.2255208,-7.42,5.34,5.2,-8.45,9.12,2.93
1737928685.2648787,-9.06,-0.78,1.86,-8.48,-0.33,1.04
1737928685.3054879,-7.35,2.0,2.46,-7.79,8.43,3.22
1737928685.3456504,-8.96,6.57,1.7,-9.05,-2.31,0.38
1737928685.386276,-6.9,-1.2,1.41,-3.61,12.25,3.14
1737928685.4254181,-1.23,4.74,2.82,-0.06,-7.11,1.57
1737928685.465305,0.24,-4.0,1.38,-0.67,6.33,1.83
1737928685.5060608,-2.25,4.31,5.4,-1.28,-10.36,7.4
1737928685.545874,4.21,-4.51,5.75,9.03,11.06,6.73
1737928685.5854383,8.65,3.53,7.2,4.71,-4.47,6.79
1737928685.6254284,2.77,-3.29,12.81,3.11,5.4,13.84
1737928685.6650116,5.25,1.54,12.88,7.45,1.71,11.66
1737928685.704668,9.6,6.76,12.6,8.86,9.14,14.9
1737928685.7460089,4.22,4.66,13.55,2.13,-0.56,13.62
1737928685.7853203,3.24,2.96,14.48,6.65,10.38,13.47
1737928685.825475,6.75,9.05,10.58,3.3,0.98,8.94
1737928685.8652964,-1.18,4.06,12.13,-3.36,7.88,15.4
1737928685.905866,-3.63,14.71,14.25,-3.93,10.06,12.32
1737928685.9456956,-3.05,-5.63,11.28,-2.56,4.4,11.11
1737928685.9860742,-3.9,16.54,11.83,-7.55,10.43,11.11
1737928686.026259,-10.57,0.73,11.16,-10.54,3.95,10.54
1737928686.0657039,-7.65,10.35,11.4,-5.7,15.45,9.73
