Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1739651254.2586288,16900,2124,572,2363,-6421,-434
1739651254.2596328,16932,2124,380,2494,-6369,-166
1739651254.2606378,16768,2076,140,2642,-6408,57
1739651254.2606378,16596,2200,360,2818,-6139,205
1739651254.2616858,16484,2448,440,2903,-5924,199
1739651254.2736351,16360,2416,480,2847,-5762,111
1739651254.2736351,16320,2276,340,2759,-5767,34
1739651254.2751644,16688,1924,212,2748,-5421,27
1739651254.2751644,16784,1932,-8,2739,-5318,67
1739651254.2761698,16456,2036,-288,2809,-5356,31
1739651254.2882578,16792,1768,-288,2886,-5318,-169
1739651254.2891712,16832,1888,-408,2956,-5372,-263
1739651254.2901702,17432,1976,-348,3023,-5250,-306
1739651254.291213,17364,2164,-396,3035,-5405,-213
1739651254.291213,17496,2164,-580,3039,-5892,-149
1739651254.303296,17764,2112,-528,3164,-6185,0
1739651254.3041706,17348,2064,-612,3228,-6816,257
1739651254.3051698,17300,1980,-112,3233,-7185,458
1739651254.3051698,16840,1988,-304,3106,-7686,619
1739651254.3061707,16856,1864,-320,3044,-7776,760
1739651254.319173,16768,1740,-424,3006,-7818,1002
1739651254.319173,16776,1816,-512,3013,-7530,1171
1739651254.3201733,16664,1864,-472,3049,-6998,1326
1739651254.3201733,16380,2092,-480,2980,-6361,1397
1739651254.3211694,16196,2128,-724,2850,-6048,1296
1739651254.3333027,16168,2000,-720,2789,-5496,1262
1739651254.3343017,16216,1940,-848,2840,-5001,1256
1739651254.3353133,16196,1904,-1148,2896,-4617,1213
1739651254.3353133,16264,1900,-1164,3044,-3914,1222
1739651254.3373685,16268,1808,-1488,3098,-3530,1136
1739651254.349411,16436,1996,-1468,3237,-2513,1098
1739651254.349411,16592,1932,-1524,3360,-1674,995
1739651254.349411,16660,2004,-1500,3475,-943,965
1739651254.3504076,16804,1964,-1600,3652,-308,935
1739651254.3515575,16772,1940,-1648,3875,147,961
1739651254.3634083,17008,1804,-1840,4203,249,1124
1739651254.3644078,17164,1628,-1656,4580,207,1257
1739651254.3644078,17080,1604,-1296,4842,-158,1375
1739651254.3654091,17056,1556,-624,4907,-578,1458
1739651254.366409,16988,1528,-228,4871,-986,1534
1739651254.3784087,16792,1564,-40,4633,-1523,1542
1739651254.3784087,16820,1548,336,4315,-1889,1474
1739651254.3798423,17124,1540,196,4068,-2148,1436
1739651254.3808477,17132,1344,116,3809,-2445,1495
1739651254.3818483,16940,1224,-44,3417,-3009,1429
1739651254.3938496,17112,1184,-120,3164,-2982,1407
1739651254.3938496,16992,1008,-540,2886,-3233,1416
1739651254.394851,16956,988,-1028,2699,-3485,1351
1739651254.3958504,17096,960,-1424,2574,-3522,1277
1739651254.3968468,17196,880,-1428,2487,-3348,1294
1739651254.4239664,17200,1016,-1716,2377,-3157,1278
1739651254.4239664,17100,1096,-1736,2297,-2910,1267
1739651254.4250164,17104,1184,-1768,2223,-2608,1230
1739651254.4260037,17004,1056,-1544,2199,-2188,1244
1739651254.4260037,16744,1128,-1632,2121,-1855,1215
1739651254.426963,16656,1280,-1716,2057,-1720,1143
1739651254.4280157,16536,1288,-1816,2053,-1410,1115
1739651254.4289675,16540,1248,-1540,2039,-1014,1127
1739651254.4300156,16280,1340,-1432,1989,-621,1038
1739651254.4300156,16180,1252,-1248,1965,-309,981
1739651254.4313571,16304,1296,-1236,1849,-152,886
1739651254.438875,16304,1176,-1136,1839,92,842
1739651254.438875,16248,1260,-1092,1736,40,802
