Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1739652292.6915147,3976,-6084,15144,-619,348,302
1739652292.6915147,3884,-5936,15124,-555,281,283
1739652292.692515,4008,-6020,15196,-486,227,245
1739652292.692515,4048,-6044,15212,-402,169,246
1739652292.7059324,4140,-5980,15100,-309,223,215
1739652292.7059324,3968,-5980,15388,-257,239,181
1739652292.706887,4072,-6140,15472,-191,307,148
1739652292.7078881,4004,-6004,15624,-109,246,112
1739652292.7089748,3968,-5992,15720,-18,143,39
1739652292.7208872,4024,-5952,15648,17,154,-16
1739652292.7208872,4156,-5864,15896,-11,187,-65
1739652292.721888,4296,-5972,16032,-58,249,-75
1739652292.7229834,4364,-6060,16112,-174,345,-103
1739652292.723887,4252,-6048,16176,-278,381,-85
1739652292.7359946,4348,-6104,16040,-387,438,-49
1739652292.7359946,4292,-6200,16020,-486,477,11
1739652292.7368908,4364,-6336,15904,-543,498,47
1739652292.7378874,4200,-6272,15948,-576,533,63
1739652292.7388911,4348,-6332,15784,-529,562,102
1739652292.7509665,4344,-6176,15628,-494,670,91
1739652292.7509665,4308,-6136,15532,-438,754,97
1739652292.7519662,4144,-6156,15332,-377,764,78
1739652292.7519662,4080,-6084,15368,-265,690,87
1739652292.7531385,4132,-6004,15312,-225,675,71
1739652292.7654047,3984,-5980,15392,-165,522,48
1739652292.7662818,4156,-5948,15496,-113,515,29
1739652292.7673066,4212,-5912,15464,-186,624,16
1739652292.7673066,4084,-5812,15436,-151,685,1
1739652292.7692807,3992,-5844,15424,-111,650,-51
1739652292.7803996,3832,-5784,15456,-9,515,-96
1739652292.7812793,3812,-5732,15288,77,443,-144
1739652292.7823853,3908,-5868,15416,132,351,-216
1739652292.7832842,3928,-5736,15488,200,273,-226
1739652292.7832842,3960,-5804,15436,197,208,-236
1739652292.7954137,3960,-5792,15380,158,118,-282
1739652292.7962842,4076,-5880,15520,166,55,-296
1739652292.7972808,4088,-5984,15552,109,-46,-300
1739652292.7972808,4200,-6004,15732,49,-52,-304
1739652292.7982817,4104,-5912,15824,-55,-112,-265
1739652292.8109324,4140,-6004,15988,-128,-138,-233
1739652292.8109324,4148,-5920,16028,-216,-149,-191
1739652292.8119237,4148,-6072,16188,-244,-106,-195
1739652292.8131154,4012,-5972,16256,-307,-11,-234
1739652292.8131154,3916,-5964,16356,-320,42,-243
1739652292.8261886,3916,-5888,16516,-388,88,-367
1739652292.8261886,3660,-5860,16400,-419,38,-429
1739652292.8271873,3904,-5780,16420,-442,166,-464
1739652292.8281877,3984,-5952,16144,-438,275,-529
1739652292.8281877,3840,-5760,16036,-485,310,-564
1739652292.8411899,3896,-5832,16200,-525,368,-611
1739652292.8411899,3928,-5932,16164,-664,533,-628
1739652292.8553863,3920,-5904,15888,-751,738,-625
1739652292.8563366,3904,-5972,15660,-778,870,-661
1739652292.857607,3800,-6060,15612,-803,950,-705
1739652292.857607,3820,-6000,15300,-698,1007,-714
1739652292.8586714,3832,-6100,15348,-647,996,-741
1739652292.8595574,3756,-6052,15272,-584,1004,-742
1739652292.8595574,3784,-6124,15264,-514,992,-769
1739652292.8605585,3804,-6068,15220,-529,911,-775
1739652292.8615885,3728,-6100,15144,-555,816,-760
1739652292.8705964,3628,-6116,15108,-599,712,-767
1739652292.8705964,3604,-6280,15112,-582,574,-759
1739652292.8718493,3692,-6352,15076,-580,468,-752
1739652292.8729815,3800,-6300,14924,-563,365,-731
1739652292.8858583,3672,-6344,14968,-544,323,-707
1739652292.8858583,3748,-6328,14940,-502,285,-722
1739652292.8868566,3956,-6456,14888,-421,259,-720
1739652292.900859,3872,-6548,14992,-303,158,-737
1739652292.900859,3896,-6412,14908,-201,185,-742
1739652292.9019594,3908,-6520,15192,-142,158,-765
1739652292.9029653,3772,-6360,15204,-49,122,-747
1739652292.9029653,3924,-6436,15224,18,85,-788
1739652292.9042659,3936,-6352,15156,45,97,-781
1739652292.9042659,3908,-6360,15340,57,77,-806
1739652292.9064088,4060,-6404,15472,31,37,-816
1739652292.9156144,4208,-6432,15412,-14,83,-841
1739652292.9165342,4208,-6544,15456,-57,41,-808
1739652292.9175355,4144,-6720,15316,-50,9,-770
1739652292.9175355,4324,-6756,15332,-30,8,-750
1739652292.931002,4304,-6768,15392,19,23,-734
1739652292.931002,4268,-6864,15420,20,22,-721
1739652292.9319594,4232,-6716,15396,122,76,-714
1739652292.9329605,4328,-6620,15708,115,71,-695
1739652292.9339893,4404,-6620,15700,146,103,-711
1739652292.9461734,4220,-6560,15744,100,119,-713
1739652292.9461734,4208,-6556,15812,65,160,-723
1739652292.947072,4320,-6620,15824,9,219,-714
1739652292.9480703,4296,-6672,15908,-72,234,-727
1739652292.9492111,4472,-6672,15768,-140,247,-729
1739652292.9607995,4552,-6648,15788,-208,270,-745
1739652292.961801,4600,-6644,15744,-294,332,-745
1739652292.961801,4516,-6672,15772,-388,389,-712
1739652292.9627974,4500,-6684,15600,-455,427,-676
1739652292.963798,4532,-6696,15708,-485,433,-651
1739652292.9762497,4604,-6816,15428,-498,499,-630
1739652292.9762497,4636,-6824,15536,-457,567,-605
1739652292.9772513,4684,-6880,15384,-377,664,-591
1739652292.9782526,4784,-6888,15192,-333,747,-557
1739652292.9782526,4884,-6884,15360,-315,897,-521
1739652292.9906669,4932,-6784,15180,-307,1017,-463
1739652292.9906669,4908,-6800,15188,-364,1013,-428
1739652292.992142,4940,-6876,15620,-429,980,-368
1739652292.992142,4832,-6896,15484,-527,898,-374
1739652292.9933574,4796,-6968,15596,-655,737,-318
1739652293.0058084,4760,-7004,15396,-736,593,-290
1739652293.0058084,4864,-7004,15412,-753,305,-283
1739652293.0072834,4924,-7184,15220,-665,156,-321
1739652293.0072834,5184,-7116,15076,-569,226,-291
1739652293.0082877,5380,-7180,14912,-461,369,-283
1739652293.019811,5264,-7140,15144,-321,421,-258
1739652293.0212567,5328,-7324,15312,-175,396,-275
1739652293.0222638,5428,-7364,15912,-174,317,-248
1739652293.0222638,5552,-7260,16024,-236,247,-266
1739652293.0232623,5612,-7248,16220,-281,358,-310
1739652293.0353222,5704,-7388,16176,-323,414,-321
1739652293.0363219,5792,-7452,16092,-357,516,-329
1739652293.0375264,5884,-7572,15956,-408,669,-353
1739652293.0375264,6016,-7720,15896,-425,781,-360
1739652293.0389495,6136,-7864,15660,-346,770,-396
1739652293.0499573,6344,-8140,15648,-303,734,-436
1739652293.0509565,6536,-8188,15428,-193,619,-415
1739652293.0519576,6804,-8460,15332,-88,495,-416
1739652293.052958,7108,-8504,15280,-130,557,-401
1739652293.0539594,7448,-8624,15284,-298,852,-449
1739652293.0810173,7424,-9036,14904,-353,843,-363
1739652293.0810173,7668,-9240,14204,-427,849,-285
1739652293.0810173,7724,-9384,14004,-415,932,-170
1739652293.0824332,7956,-9504,13820,-396,760,-18
1739652293.0834386,8076,-9556,13656,-379,637,176
1739652293.0844429,8436,-9780,13400,-316,503,321
1739652293.0844429,8640,-9908,13376,-258,443,429
1739652293.0854373,8956,-10224,13156,-38,382,492
1739652293.086439,9124,-10224,12928,46,169,590
1739652293.0874386,9504,-10252,12692,82,78,675
1739652293.0874386,9864,-10472,12508,32,15,655
